trade_date,pe_ratio
2020-04-01,23.32
2020-03-31,24.4
2020-03-01,23.42
2020-02-28,28.05
2020-02-01,31.03
2020-01-31,30.84
2020-01-01,31.23
2019-12-31,30.97
2019-12-01,30.49
2019-11-01,29.91
2019-10-01,28.84
2019-09-01,29.23
2019-08-01,28.71
2019-07-01,29.99
2019-06-01,29.28
2019-05-31,28.34
2019-05-01,29.24
2019-04-01,30.13
2019-03-01,29.58
2019-02-01,29.54
2019-01-01,28.38
2018-12-01,28.29
2018-11-01,30.2
2018-10-01,31.04
2018-09-01,32.62
2018-08-01,32.39
2018-07-01,31.89
2018-06-01,31.63
2018-05-01,31.24
2018-04-01,30.97
2018-03-01,31.81
2018-02-01,32.04
2018-01-01,33.31
2017-12-01,32.09
2017-11-01,31.3
2017-10-01,30.92
2017-09-01,30.17
2017-08-01,29.91
2017-07-01,30.0
2017-06-01,29.75
2017-05-01,29.31
2017-04-01,28.9
2017-03-01,29.09
2017-02-01,28.66
2017-01-01,28.06
2016-12-01,27.87
2016-11-01,26.85
2016-10-01,26.53
2016-09-01,26.73
2016-08-01,26.95
2016-07-01,26.69
2016-06-01,25.84
2016-05-01,25.69
2016-04-01,25.92
2016-03-01,25.37
2016-02-01,24.0
2016-01-01,24.21
2015-12-01,25.97
2015-11-01,26.23
2015-10-01,25.49
2015-09-01,24.5
2015-08-01,25.69
2015-07-01,26.38
2015-06-01,26.5
2015-05-01,26.81
2015-04-01,26.79
2015-03-01,26.73
2015-02-01,27.0
2015-01-01,26.49
2014-12-01,26.79
2014-11-01,26.61
2014-10-01,25.16
2014-09-01,25.92
2014-08-01,25.62
2014-07-01,25.82
2014-06-01,25.56
2014-05-01,24.94
2014-04-01,24.79
2014-03-01,24.96
2014-02-01,24.59
2014-01-01,24.86
2013-12-01,24.86
2013-11-01,24.64
2013-10-01,23.83
2013-09-01,23.44
2013-08-01,23.36
2013-07-01,23.49
2013-06-01,22.93
2013-05-01,23.41
2013-04-01,22.6
2013-03-01,22.42
2013-02-01,22.05
2013-01-01,21.9
2012-12-01,21.24
2012-11-01,20.9
2012-10-01,21.58
2012-09-01,21.78
2012-08-01,21.41
2012-07-01,21.0
2012-06-01,20.55
2012-05-01,20.94
2012-04-01,21.78
2012-03-01,22.05
2012-02-01,21.8
2012-01-01,21.21
2011-12-01,20.52
2011-11-01,20.35
2011-10-01,20.16
2011-09-01,19.7
2011-08-01,20.05
2011-07-01,22.61
2011-06-01,22.1
2011-05-01,23.06
2011-04-01,23.14
2011-03-01,22.9
2011-02-01,23.49
2011-01-01,22.98
2010-12-01,22.4
2010-11-01,21.7
2010-10-01,21.24
2010-09-01,20.38
2010-08-01,19.77
2010-07-01,19.67
2010-06-01,19.74
2010-05-01,20.48
2010-04-01,21.8
2010-03-01,21.0
2010-02-01,19.92
2010-01-01,20.53
2009-12-01,20.32
2009-11-01,19.81
2009-10-01,19.36
2009-09-01,18.83
2009-08-01,18.09
2009-07-01,16.69
2009-06-01,16.38
2009-05-01,16.0
2009-04-01,14.98
2009-03-01,13.32
2009-02-01,14.12
2009-01-01,15.17
2008-12-01,15.38
2008-11-01,15.26
2008-10-01,16.39
2008-09-01,20.36
2008-08-01,21.4
2008-07-01,20.91
2008-06-01,22.42
2008-05-01,23.7
2008-04-01,23.36
2008-03-01,22.61
2008-02-01,23.5
2008-01-01,24.02
2007-12-01,25.96
2007-11-01,25.73
2007-10-01,27.32
2007-09-01,26.73
2007-08-01,26.15
2007-07-01,27.41
2007-06-01,27.42
2007-05-01,27.55
2007-04-01,26.98
2007-03-01,26.23
2007-02-01,27.32
2007-01-01,27.21
2006-12-01,27.28
2006-11-01,26.93
2006-10-01,26.54
2006-09-01,25.64
2006-08-01,25.05
2006-07-01,24.7
2006-06-01,24.75
2006-05-01,25.65
2006-04-01,26.15
2006-03-01,26.33
2006-02-01,26.25
2006-01-01,26.47
2005-12-01,26.44
2005-11-01,25.93
2005-10-01,24.88
2005-09-01,25.73
2005-08-01,26.1
2005-07-01,26.29
2005-06-01,26.07
